IDENT_MEN;vag;BCCOD;BCNACHAT;BCLIEU01;BCLIEU02;BCLIEU03;BCLIEU04;BCLIEU05;BCLIEU06;BCLIEU07;BCLIEU08;BCLIEU09;BCLIEU10;BCPRIX;BCLIEU00;BCPRIX_D
01053;5;3;6;0;0;0;0;0;0;0;0;0;1;6;;6
01058;2;3;2;0;0;0;0;0;0;1;0;0;0;40;;40
01061;4;5;6;0;0;0;0;0;0;1;0;0;0;19;;19
01062;4;4;99;0;0;0;0;0;0;0;0;0;0;999999;;20
01067;5;3;5;0;0;0;0;0;0;0;1;0;0;100;;100
01073;1;3;1;0;0;0;0;0;0;0;0;0;1;1;;1
01074;4;9;5;0;0;0;0;0;0;0;1;0;0;40;;40
01075;1;1;1;0;0;0;1;0;0;0;0;0;0;15;;15
01076;1;1;1;0;0;0;1;0;0;0;0;0;0;15;;15
01092;4;9;3;0;0;0;1;0;0;0;0;0;0;50;;50
01096;4;2;2;0;0;0;0;0;0;0;0;0;0;12;;12
01096;4;3;3;0;0;1;0;0;0;0;0;0;0;20;;20
01110;3;9;3;0;0;0;1;0;0;0;0;0;0;60;;60
01113;5;3;2;0;0;0;0;0;0;0;1;0;0;999999;;60
01117;6;3;4;0;0;0;0;0;0;0;1;0;0;55;;55
01119;4;3;10;0;0;0;0;0;0;0;1;1;0;15;;15
01123;2;3;10;0;0;0;0;0;0;1;0;0;0;70;;70
01129;5;3;20;0;0;1;0;0;0;0;0;0;0;300;;300
01139;4;1;1;0;0;1;0;0;0;0;0;0;0;15;;15
01139;4;3;10;0;0;1;0;0;0;0;1;0;1;15;;15
01139;4;9;1;0;0;0;0;0;0;0;1;0;0;20;;20
01140;4;3;1;0;0;0;0;0;0;0;1;0;0;10;;10
01145;2;3;5;0;0;0;1;0;0;0;0;0;0;38;;38
