IDENT_MEN;numgarage;Nbgar;STATUGAR;ANACQGAR;PRIXGAR;NATGAR1;NATGAR2;NATGAR3;NATGAR4;NATGAR5;NATGAR6;NATGAR7;NATGAR8;NATGAR9;Mloyg;Mremg;Mtaxg;Massg;Mcharg;vag;MASSG_D;MCHARG_D;MLOYG_D;MREMG_D;MTAXG_D;PRIXGAR_D
00381;1;3;1;2;;0;0;0;0;0;0;0;0;1;;;;;;1;;;;;;
00381;2;3;1;2;;0;0;0;0;0;0;0;0;1;;;;;;1;;;;;;
00381;3;3;1;2;;0;0;0;0;0;0;0;0;1;;;;;;1;;;;;;
00382;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;4;;;;;;
00383;1;1;2;;;0;0;0;0;0;0;0;0;1;;;;;;6;;;;;;
00384;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;6;;;;;;
00385;1;2;1;2;;0;0;0;0;0;0;0;0;1;;;;;;2;;;;;;
00385;2;2;1;2;;0;0;0;0;0;0;0;0;1;;;;;;2;;;;;;
00389;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;5;;;;;;
00392;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;3;;;;;;
00393;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;5;;;;;;
00394;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;2;;;;;;
00396;1;2;1;2;;0;0;0;0;0;0;0;0;1;;;;;;2;;;;;;
00396;2;2;1;2;;0;0;0;0;0;0;0;0;1;;;;;;2;;;;;;
00397;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;3;;;;;;
00400;1;1;2;;;0;0;0;0;0;0;0;0;1;;;;;;1;;;;;;
00403;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;4;;;;;;
00404;1;1;2;;;0;0;0;0;0;0;0;0;1;;;;;;3;;;;;;
00407;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;2;;;;;;
00409;1;1;2;;;0;0;0;0;0;0;0;0;1;;;;;;3;;;;;;
00410;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;3;;;;;;
00411;1;1;2;;;0;0;0;0;0;0;0;0;1;;;;;;2;;;;;;
00413;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;2;;;;;;
00415;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;5;;;;;;
00417;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;1;;;;;;
00419;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;2;;;;;;
00420;1;2;1;2;;0;0;0;0;0;0;0;0;1;;;;;;1;;;;;;
00420;2;2;1;2;;0;0;0;0;0;0;0;0;1;;;;;;1;;;;;;
00421;1;1;2;;;0;0;0;0;0;0;0;0;1;;;;;;3;;;;;;
00422;1;1;2;;;0;0;0;0;0;0;0;0;1;;;;;;1;;;;;;
00426;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;1;;;;;;
00430;1;1;2;;;0;0;0;0;0;0;0;0;1;;;;;;2;;;;;;
00431;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;6;;;;;;
00434;1;2;1;2;;0;0;0;0;0;0;0;0;1;;;;;;5;;;;;;
00434;2;2;1;2;;0;0;0;0;0;0;0;0;1;;;;;;5;;;;;;
00435;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;4;;;;;;
00436;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;5;;;;;;
00441;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;5;;;;;;
00442;1;1;2;;;0;0;0;0;0;0;0;0;1;;;;;;3;;;;;;
00445;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;1;;;;;;
00447;1;1;2;;;0;0;0;0;0;0;0;0;1;;;;;;4;;;;;;
00448;1;3;2;;;0;0;0;0;0;0;0;0;1;;;;;;1;;;;;;
00448;2;3;2;;;0;0;0;0;0;0;0;0;1;;;;;;1;;;;;;
00448;3;3;2;;;0;0;0;0;0;0;0;0;1;;;;;;1;;;;;;
00450;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;6;;;;;;
00451;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;3;;;;;;
00452;1;2;1;2;;0;0;0;0;0;0;0;0;1;;;;;;2;;;;;;
00452;2;2;1;2;;0;0;0;0;0;0;0;0;1;;;;;;2;;;;;;
00454;1;1;2;;;0;0;0;0;0;0;0;0;1;;;;;;5;;;;;;
00457;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;2;;;;;;
00458;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;6;;;;;;
00461;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;2;;;;;;
00462;1;1;2;;;0;0;0;0;0;0;0;0;1;;;;;;3;;;;;;
00466;1;1;2;;;0;0;0;0;0;0;1;0;0;;;;;86;4;;86;;;;
00467;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;6;;;;;;
00469;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;6;;;;;;
00473;1;1;2;;;1;0;0;0;0;0;0;0;0;600;;;;;3;;;600;;;
00476;1;1;2;;;0;0;0;0;0;0;0;0;1;;;;;;4;;;;;;
00478;1;2;1;2;;0;0;0;0;0;0;0;0;1;;;;;;5;;;;;;
00478;2;2;1;1;1;0;0;0;0;0;0;0;0;1;;;;;;5;;;;;;1
00479;1;1;2;;;0;0;0;0;0;0;0;0;1;;;;;;6;;;;;;
00481;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;6;;;;;;
00482;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;1;;;;;;
00489;1;2;1;2;;0;0;0;0;0;0;0;0;1;;;;;;6;;;;;;
00489;2;2;1;2;;0;0;0;0;0;0;0;0;1;;;;;;6;;;;;;
00492;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;1;;;;;;
00493;1;1;2;;;0;0;0;0;0;0;0;0;1;;;;;;4;;;;;;
00501;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;2;;;;;;
00504;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;4;;;;;;
00505;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;4;;;;;;
00507;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;2;;;;;;
00510;1;1;2;;;0;0;0;0;0;0;0;0;1;;;;;;1;;;;;;
00511;1;1;1;2;;0;0;1;0;0;0;0;0;0;;;200;;;5;;;;;200;
00512;1;2;1;2;;0;0;0;0;0;0;0;0;1;;;;;;2;;;;;;
00512;2;2;2;;;0;0;0;0;0;0;0;0;1;;;;;;2;;;;;;
00513;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;5;;;;;;
00516;1;1;2;;;0;0;0;0;0;0;0;0;1;;;;;;6;;;;;;
00517;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;6;;;;;;
00518;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;5;;;;;;
00519;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;1;;;;;;
00523;1;1;1;2;;0;0;1;0;0;0;0;0;0;;;337;;;5;;;;;337;
00528;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;6;;;;;;
00529;1;1;2;;;0;0;0;0;0;0;0;0;1;;;;;;5;;;;;;
00537;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;1;;;;;;
00538;1;1;1;2;;0;0;0;0;0;0;0;0;1;;;;;;1;;;;;;
00540;1;1;2;;;0;0;0;0;0;0;0;0;1;;;;;;3;;;;;;
