IDENT_MEN;numordre;NBH1;Hodcharg;Hodaid;Hodsex;Hodan;HODLN01;HODLN02;HODLN03;HODLN04;HODLN05;HODLN06;HODLN07;HODLN08;HODLN09;HODLN10;HODLN11;HODLN12;HODLN13;HODLN14;HODLN15;HODLN16;HODLN17;HODLN18;HODLN19;HODLN20;HodFra;HodMat;Hodco;Hodenf;Hodetu;Hodocc;Hodniv;Hodtra;HodcsA;HodcsE;vag;HODRES7
00503;21;4;2;1;1;1973;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;2;1;1;3;;;2;5;
00503;22;4;2;1;1;1971;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;1;1;7;;;5;5;
00503;23;4;2;1;2;1968;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;2;1;6;3;2;;;5;
00503;24;4;2;1;1;1972;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;5;;;5;5;
00507;1;1;1;2;1;1975;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;2;7;1;2;;2;
00509;1;1;1;2;2;1994;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;0;1;2;7;2;;;5;
00517;1;2;1;2;2;1977;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;7;;;5;6;
00521;1;1;1;1;1;2010;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;4;;;;2;;;;1;
00521;21;1;1;1;1;2010;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;3;;;;2;;;;1;
00523;1;2;1;2;2;1993;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1;7;;;4;5;
00544;1;2;1;2;2;1987;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;3;0;2;3;2;2;;;2;7
00551;1;1;1;2;1;2007;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;3;;;;2;;;;4;
00566;1;3;1;2;1;1993;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;0;2;3;8;2;;;6;
00610;1;3;1;2;1;2001;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;3;0;;3;3;2;;;2;
00610;2;3;1;2;1;1998;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;3;0;2;3;5;2;;;2;
00610;3;3;1;2;1;1999;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;3;0;2;3;4;2;;;2;
00615;1;3;1;2;1;2001;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;0;;7;0;2;;;2;
00615;2;3;1;2;2;1993;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;3;1;6;3;1;5;;2;
00615;3;3;1;2;2;1995;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;2;3;1;5;;2;
00624;1;1;1;2;1;2000;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;3;0;2;3;5;2;;;2;
00640;1;1;1;2;1;2002;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;3;0;;3;5;2;;;4;
00643;21;9;2;1;2;1982;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;5;1;1;99;;;4;4;
00644;1;1;1;2;1;1997;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;0;2;3;4;2;;;1;6
00652;1;3;1;2;1;1992;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;0;1;1;5;;;6;5;
00663;1;2;1;2;1;1960;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;2;1;2;8;1;3;;4;7
00664;1;3;1;2;2;1983;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;0;1;7;0;2;;;1;6
00664;2;3;1;2;2;1981;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;7;2;6;0;2;;;1;6
00664;3;3;1;2;1;1982;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;1;1;7;2;2;;;1;6
00681;1;2;1;2;2;1989;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;4;0;1;7;3;2;;;6;
00682;1;1;1;2;2;1990;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;4;0;2;3;8;1;3;;2;
00685;21;5;2;1;1;1997;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;2;3;2;;;2;
00686;1;3;1;2;1;1991;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;0;2;3;8;2;;;5;
00693;1;5;1;2;1;1994;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;0;2;3;7;2;;;1;
00697;1;1;1;2;1;2005;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;3;;;;3;;;;3;
00700;1;1;1;2;2;1992;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;2;6;4;2;;;3;
00701;1;4;1;2;1;1994;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;0;2;3;7;2;;;2;
00701;2;4;1;2;2;1989;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;1;1;8;;;5;2;3
00701;3;4;1;2;1;1987;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;2;8;2;;;2;
00701;4;4;1;2;1;1988;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;4;0;1;2;5;1;5;;2;
00708;1;2;1;2;1;1979;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;4;0;1;7;5;2;;;5;
00708;2;2;1;2;2;1976;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;7;;;5;5;
00722;1;1;1;2;2;1984;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;0;1;1;7;;;5;4;
00739;21;2;2;1;1;1978;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;3;1;2;4;2;;;4;
00739;22;2;2;1;1;1982;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;4;1;1;4;;;5;4;
00740;1;5;1;2;1;1988;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;2;1;2;4;2;;;5;6
00741;1;3;1;2;1;1999;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;0;2;3;5;2;;;4;6
00741;2;3;1;2;2;1998;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;0;2;3;5;2;;;4;6
00741;3;3;1;2;1;1997;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;0;2;3;7;2;;;4;6
00745;1;1;1;2;1;1996;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;0;1;2;4;1;5;;5;
00746;21;2;2;1;1;1994;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;0;1;1;6;;;6;4;
00747;1;3;1;2;2;1994;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;0;2;3;7;1;5;;1;
00747;2;3;1;2;2;1994;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;0;2;3;7;1;5;;1;
00749;1;2;1;2;2;1997;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;0;2;3;6;2;;;5;
00749;2;2;1;2;1;1995;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;4;0;2;3;7;2;;;5;
00760;1;1;1;2;1;1997;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;0;2;3;7;2;;;1;
00770;1;2;1;2;1;1993;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;0;2;3;7;1;5;;2;
00770;2;2;1;2;1;1981;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;1;1;1;8;;;3;2;7
00783;1;2;1;2;2;2013;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;3;;;;1;;;;2;
