IDENT_MEN;numbd;BNAT_PROD;BDCOD;NAT_PROD_A;NACHA_PROD;BDNEUF_PROD;BDCRED_PROD;BDLIEU_PROD;BDPRIX_PROD;BDPRIX_PRODRECUP;BDPRIX_PROD_D;BDOFFR_PROD;vag
10169;8;CANAPE;403;;;1;1;7;589;;589;;4
10169;9;LIT ET CHEVETS;406;;;1;1;7;399;;399;;4
10169;10;MATELA;406;;;1;3;7;129;;129;;4
10169;11;ETAGERE;411;;;1;3;7;35;;35;;4
10170;1;Aspirateur, nettoyeur vapeur, shampouineuse;109;;1;1;3;7;90;;90;;2
10170;2;Cuiseur, friteuse, autocuiseur;113;;1;1;3;3;50;;50;;2
10170;3;Fer à repasser, centrale à vapeur;119;;1;1;3;10;39;;39;;2
10170;4;Rasoir électrique, épilateur, tondeuse ou appareil pour soin du cheveu;120;;2;1;3;7;20;;20;;2
10170;5;Radio, radio-réveil;207;;1;1;3;7;180;;180;;2
10170;6;Cartouche d'imprimante;219;;4;1;3;7;20;;20;;2
10170;7;Autre périphérique informatique (clef USB, souris, clavier, enceintes...);221;CLE USB;2;1;3;7;8;;8;;2
10170;8;Equipement de sport (raquettes, planche à voile, planche de surf, roller, trotinettes...);243;;1;1;3;7;45;;45;;2
10171;1;Micro-ordinateur portable;212;;1;1;1;8;499;;499;;4
10171;2;Téléphone portable;215;;1;1;3;8;119;;119;4;4
10173;1;Lave-linge, lave-linge séchant;103;;1;1;3;7;310;;310;;4
10173;2;Téléviseur, combiné télé magnétoscope/DVD;201;;1;1;3;8;250;;250;;4
10173;3;Micro-ordinateur portable;212;;1;1;3;7;250;;250;;4
10173;4;MATELAS;406;;;1;3;8;400;;400;;4
10174;1;FAUTEUIL;403;;;1;3;8;1250;;1250;;6
10175;1;Nettoyeur haute pression (ex : karcher );304;;1;1;3;7;2500;;2500;;6
10178;1;Téléviseur, combiné télé magnétoscope/DVD;201;;1;1;3;4;239;;239;;5
10178;2;Téléphone portable;215;;1;1;3;8;80;;80;3;5
10178;3;Perceuse, visseuse, ponceuse, scie sauteuse, poste à souder, chalumeau et autres;306;;1;1;3;8;500;;500;;5
10179;1;Téléphone portable;215;;1;1;3;8;0;;;3;5
10180;1;MEUBLE BAS BUFFET;402;;;1;2;3;500;;500;;2
10180;2;CANAPE;403;;;2;3;10;150;;150;;2
10181;1;Aspirateur, nettoyeur vapeur, shampouineuse;109;;1;1;3;3;299;;299;;2
10181;2;Expresso, cafetière, bouilloire, grille pain ou appareil pour la préparation de jus;112;;1;1;3;7;20;;20;;2
10181;3;Tablette PC;214;;1;1;3;7;250;;250;;2
10181;4;Téléphone portable;215;;3;2;3;3;237;;237;4;2
10181;5;TABLE;401;;;1;1;6;500;;500;;2
10181;6;CHAISES;402;;;1;1;6;750;;750;;2
10181;7;MEUBLES SEJOUR;404;;;1;1;6;1200;;1200;;2
10181;8;BUREAU;410;;;1;3;6;120;;120;;2
10182;1;Lave-linge, lave-linge séchant;103;;1;1;3;3;455;;455;;2
10182;2;Cuiseur, friteuse, autocuiseur;113;;1;1;3;3;49;;49;;2
10182;3;Téléviseur, combiné télé magnétoscope/DVD;201;;1;1;3;3;198;;198;;2
10182;4;Micro-ordinateur de bureau;211;;1;1;3;3;245;;245;;2
10182;5;Débroussailleuse, taille haie, broyeuse, tronçonneuse et autres appareils d'entretien du jardin;305;;2;1;3;3;150;;150;;2
10182;6;BUFFET SALLE A MANGER;402;;;2;3;3;60;;60;;2
10182;7;SOMMIER ET MATELAS;406;;;1;3;3;210;;210;;2
10182;8;MEUBLE ILOT CENTRAL CUISINE;407;;;1;3;7;280;;280;;2
